time, roll, pitch, heading 
1574070992.999929, -117.867004, 10.832002, 0.000000
1574070993.013112, -117.066933, 11.792940, 0.000000
1574070993.027199, -115.942314, 12.487364, 0.000000
1574070993.039967, -115.773262, 12.478615, 0.000000
1574070993.057495, -115.219215, 11.775335, 0.000000
1574070993.067108, -114.021919, 12.201179, 0.000000
1574070993.081135, -113.864586, 12.013247, 0.000000
1574070993.094227, -113.400253, 12.652059, 0.000000
1574070993.109667, -112.822723, 13.497548, 0.000000
1574070993.121608, -111.681725, 14.541831, 0.000000
1574070993.134689, -110.276352, 14.667314, 0.000000
1574070993.148079, -109.133339, 14.299768, 0.000000
1574070993.161393, -108.705170, 13.785447, 0.000000
1574070993.175512, -107.139343, 14.364747, 0.000000
1574070993.187504, -105.652351, 15.159322, 0.000000
1574070993.201585, -105.029175, 15.756848, 0.000000
1574070993.214533, -103.623993, 16.810637, 0.000000
1574070993.228874, -101.723083, 17.020256, 0.000000
1574070993.241778, -100.765533, 16.401209, 0.000000
1574070993.259839, -99.713341, 15.716646, 0.000000
1574070993.269523, -98.847397, 15.492136, 0.000000
1574070993.282592, -97.963211, 15.806293, 0.000000
1574070993.296785, -96.886070, 16.582794, 0.000000
1574070993.308763, -95.469032, 17.700781, 0.000000
1574070993.323018, -93.745262, 17.747477, 0.000000
1574070993.336168, -92.296097, 17.695711, 0.000000
1574070993.349132, -92.054886, 17.419512, 0.000000
1574070993.367840, -91.691292, 17.283373, 0.000000
1574070993.376193, -90.987061, 18.110096, 0.000000
1574070993.390357, -89.546280, 19.034088, 0.000000
1574070993.403359, -88.059196, 19.838039, 0.000000
1574070993.417865, -86.501144, 20.174028, 0.000000
1574070993.429543, -84.963959, 20.131372, 0.000000
1574070993.443693, -84.158501, 19.551432, 0.000000
1574070993.456434, -83.069061, 18.690865, 0.000000
1574070993.470609, -81.167068, 17.828093, 0.000000
1574070993.483562, -79.240280, 18.378033, 0.000000
1574070993.496720, -78.063568, 19.253565, 0.000000
